                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4228,                 2.6904,                 1.3389,                0.72092,                0.06914,                 0.6121,                0.32726,                  1.184,                 3.1637,                 1.1237,             0.00065278,             0.00065278,             0.00065278
                      2,                 1.3414,                 1.6563,                 1.2653,                0.87548,                0.74999,                0.82071,                0.52621,                 1.4122,                 2.0283,                 1.4702,              0.0013064,              0.0013064,              0.0013064
                      3,                 1.3035,                 1.4004,                 1.2514,                 0.9198,                0.73333,                0.81784,                0.49759,                 1.2949,                 1.8413,                 1.3393,              0.0019468,              0.0019468,              0.0019468
                      4,                 1.2961,                  1.189,                 1.2724,                0.76392,                0.81333,                0.86221,                0.46605,                 1.4846,                 1.5775,                 1.4297,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2695,                 1.0061,                 1.2477,                0.88177,                0.85333,                0.92862,                0.59456,                 1.2578,                0.92933,                  1.335,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2601,                0.93301,                 1.2238,                0.94176,                0.94667,                 0.9472,                0.56683,                 1.3084,                0.99181,                 1.3965,               0.001901,               0.001901,               0.001901
                      7,                 1.2608,                0.88535,                 1.2354,                0.96919,                0.94667,                 0.9581,                0.66395,                 1.1646,                0.75681,                 1.2532,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2582,                0.85364,                 1.2311,                 0.9849,                0.93333,                 0.9631,                0.63748,                 1.2175,                0.68804,                 1.2941,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1871,                0.73167,                 1.1884,                0.99368,                0.94667,                  0.961,                0.63749,                 1.2337,                0.81763,                  1.285,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1962,                0.73384,                 1.1929,                      1,                0.94384,                0.94825,                0.63093,                 1.2127,                 0.7352,                 1.2767,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1618,                 0.7226,                 1.1786,                      1,                0.94347,                0.95524,                 0.6574,                 1.1898,                0.64609,                 1.2545,               0.001802,               0.001802,               0.001802
                     12,                 1.1733,                0.68366,                 1.1877,                0.98506,                0.87936,                0.94827,                0.65505,                 1.1943,                0.94521,                 1.2412,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1658,                0.68107,                 1.1692,                      1,                0.93184,                0.95978,                0.67022,                 1.0841,                0.58839,                 1.1685,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1801,                0.67423,                 1.1853,                0.96683,                   0.96,                0.98605,                0.67648,                 1.1306,                0.57397,                 1.2375,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1477,                0.66552,                 1.1684,                0.97251,                0.94345,                0.97342,                0.68261,                 1.1607,                0.57875,                 1.2205,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1878,                0.65675,                 1.1671,                0.95912,                0.94667,                0.97454,                0.68906,                 1.1445,                0.61239,                 1.2238,               0.001703,               0.001703,               0.001703
                     17,                 1.1171,                0.65285,                 1.1526,                0.99772,                   0.96,                0.97472,                0.64676,                 1.1911,                0.62166,                 1.2808,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1127,                0.61834,                 1.1494,                0.99853,                   0.96,                0.98408,                0.66473,                   1.17,                0.59237,                 1.2378,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.1076,                0.62238,                 1.1632,                 0.9884,                0.94667,                0.97158,                0.65991,                 1.2517,                0.59021,                 1.2624,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1222,                0.62667,                 1.1747,                      1,                0.94639,                0.95962,                0.66399,                  1.116,                0.59717,                  1.209,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0697,                0.58506,                 1.1396,                0.99604,                0.93333,                0.93869,                 0.6227,                 1.1894,                0.71218,                 1.2494,               0.001604,               0.001604,               0.001604
                     22,                  1.087,                0.59403,                 1.1371,                0.99847,                0.94667,                0.95654,                0.68631,                 1.1176,                0.67851,                 1.2453,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1147,                0.59796,                 1.1537,                0.99489,                0.94667,                0.97528,                0.67591,                 1.1559,                0.67107,                  1.244,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0928,                 0.5966,                 1.1378,                0.98816,                   0.92,                0.95961,                0.64932,                 1.1598,                 0.6478,                 1.2489,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.0917,                0.59236,                 1.1624,                0.98544,                   0.96,                0.97655,                0.64721,                 1.2413,                0.64696,                 1.2459,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.0655,                0.58117,                 1.1363,                0.99887,                0.94667,                0.98148,                0.67803,                 1.1331,                0.52336,                 1.2101,               0.001505,               0.001505,               0.001505
                     27,                 1.0491,                0.56159,                 1.1188,                      1,                0.95808,                0.97855,                 0.6804,                 1.1444,                0.53169,                 1.2005,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.0744,                0.55484,                 1.1247,                      1,                0.95802,                0.97418,                0.68262,                 1.1498,                0.55685,                 1.1895,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0272,                0.54742,                  1.109,                0.98264,                   0.96,                0.97537,                0.67167,                  1.117,                0.53833,                 1.1711,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0548,                0.55727,                 1.1407,                0.99624,                0.94667,                0.98271,                 0.6873,                 1.1307,                0.54185,                 1.2078,              0.0014258,              0.0014258,              0.0014258
                     31,                  1.018,                0.54135,                 1.1176,                0.99505,                0.94667,                 0.9825,                0.70491,                 1.1186,                 0.5348,                 1.1773,               0.001406,               0.001406,               0.001406
                     32,                 1.0115,                0.53595,                 1.1095,                0.99711,                0.94667,                0.97641,                0.68061,                 1.1362,                0.52555,                 1.1997,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.0041,                0.53454,                 1.1047,                 0.9712,                0.93333,                0.95782,                0.63577,                 1.2401,                  0.671,                 1.2652,              0.0013664,              0.0013664,              0.0013664
                     34,                  1.036,                0.54894,                 1.1163,                      1,                0.95922,                0.97418,                0.66528,                 1.1636,                0.49182,                 1.2034,              0.0013466,              0.0013466,              0.0013466
                     35,                0.99452,                 0.5408,                 1.1067,                      1,                0.95876,                0.97659,                0.68986,                 1.1311,                0.50099,                 1.1982,              0.0013268,              0.0013268,              0.0013268
                     36,                 0.9812,                 0.5349,                 1.0984,                      1,                0.95449,                0.97656,                0.67991,                 1.1739,                0.60927,                 1.2391,               0.001307,               0.001307,               0.001307
                     37,                  1.005,                 0.5426,                 1.1018,                0.99837,                0.94667,                0.96324,                0.64567,                 1.1642,                0.58444,                 1.1823,              0.0012872,              0.0012872,              0.0012872
                     38,                0.98831,                0.51146,                 1.1028,                      1,                0.94538,                0.96984,                0.66557,                 1.1904,                0.55533,                 1.2062,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0155,                0.52327,                 1.1021,                0.99851,                0.94667,                0.96405,                0.68381,                 1.1441,                0.62868,                 1.1897,              0.0012476,              0.0012476,              0.0012476
                     40,                0.94112,                0.49137,                  1.064,                0.98412,                   0.96,                0.97453,                0.67185,                  1.116,                0.56675,                 1.1731,              0.0012278,              0.0012278,              0.0012278
                     41,                0.95901,                 0.4907,                 1.0554,                0.98628,                0.95822,                0.98914,                0.71722,                 1.0736,                0.48525,                 1.1516,               0.001208,               0.001208,               0.001208
